2025-02-02 02:01:32.993 | INFO     | __main__:__init__:31 - Sistema Multi-Agentes inicializado
2025-02-02 02:01:32.993 | INFO     | agents.programmer_agent:__init__:32 - Agente Programador prog1 inicializado con habilidades: ['python', 'web', 'database']
2025-02-02 02:01:32.993 | INFO     | agents.coordinator_agent:register_programmer:151 - Programador registrado: prog1 con habilidades: ['python', 'web', 'database']
2025-02-02 02:01:32.994 | INFO     | __main__:register_programmer:38 - Programador prog1 registrado con habilidades: ['python', 'web', 'database']
2025-02-02 02:01:32.994 | INFO     | agents.programmer_agent:__init__:32 - Agente Programador prog2 inicializado con habilidades: ['python', 'ai', 'testing']
2025-02-02 02:01:32.994 | INFO     | agents.coordinator_agent:register_programmer:151 - Programador registrado: prog2 con habilidades: ['python', 'ai', 'testing']
2025-02-02 02:01:32.994 | INFO     | __main__:register_programmer:38 - Programador prog2 registrado con habilidades: ['python', 'ai', 'testing']
2025-02-02 02:01:32.994 | INFO     | agents.programmer_agent:__init__:32 - Agente Programador prog3 inicializado con habilidades: ['javascript', 'frontend', 'ui']
2025-02-02 02:01:32.994 | INFO     | agents.coordinator_agent:register_programmer:151 - Programador registrado: prog3 con habilidades: ['javascript', 'frontend', 'ui']
2025-02-02 02:01:32.995 | INFO     | __main__:register_programmer:38 - Programador prog3 registrado con habilidades: ['javascript', 'frontend', 'ui']
2025-02-02 02:01:32.995 | INFO     | __main__:process_project:44 - Iniciando análisis del proyecto
2025-02-02 02:01:32.995 | ERROR    | agents.coordinator_agent:process_project_request:90 - Error al procesar solicitud de proyecto: 'Agent' object has no attribute 'get_response'
2025-02-02 02:01:32.995 | ERROR    | __main__:process_project:90 - Error al procesar proyecto: Error en análisis del proyecto: Error al procesar el proyecto: 'Agent' object has no attribute 'get_response'
2025-02-02 02:03:05.075 | INFO     | __main__:__init__:31 - Sistema Multi-Agentes inicializado
2025-02-02 02:03:05.075 | INFO     | agents.programmer_agent:__init__:32 - Agente Programador prog1 inicializado con habilidades: ['python', 'web', 'database']
2025-02-02 02:03:05.075 | INFO     | agents.coordinator_agent:register_programmer:133 - Programador registrado: prog1 con habilidades: ['python', 'web', 'database']
2025-02-02 02:03:05.075 | INFO     | __main__:register_programmer:38 - Programador prog1 registrado con habilidades: ['python', 'web', 'database']
2025-02-02 02:03:05.075 | INFO     | agents.programmer_agent:__init__:32 - Agente Programador prog2 inicializado con habilidades: ['python', 'ai', 'testing']
2025-02-02 02:03:05.075 | INFO     | agents.coordinator_agent:register_programmer:133 - Programador registrado: prog2 con habilidades: ['python', 'ai', 'testing']
2025-02-02 02:03:05.076 | INFO     | __main__:register_programmer:38 - Programador prog2 registrado con habilidades: ['python', 'ai', 'testing']
2025-02-02 02:03:05.076 | INFO     | agents.programmer_agent:__init__:32 - Agente Programador prog3 inicializado con habilidades: ['javascript', 'frontend', 'ui']
2025-02-02 02:03:05.076 | INFO     | agents.coordinator_agent:register_programmer:133 - Programador registrado: prog3 con habilidades: ['javascript', 'frontend', 'ui']
2025-02-02 02:03:05.076 | INFO     | __main__:register_programmer:38 - Programador prog3 registrado con habilidades: ['javascript', 'frontend', 'ui']
2025-02-02 02:03:05.077 | INFO     | __main__:process_project:44 - Iniciando análisis del proyecto
2025-02-02 02:03:05.165 | ERROR    | agents.coordinator_agent:process_project_request:75 - Error al procesar solicitud de proyecto: 'charmap' codec can't encode characters in position 0-6: character maps to <undefined>
2025-02-02 02:03:05.165 | ERROR    | __main__:process_project:90 - Error al procesar proyecto: 'status'
2025-02-02 02:03:05.165 | ERROR    | __main__:get_system_status:114 - Error al obtener estado del sistema: object dict can't be used in 'await' expression
2025-02-02 02:03:52.595 | INFO     | __main__:__init__:31 - Sistema Multi-Agentes inicializado
2025-02-02 02:03:52.595 | INFO     | agents.programmer_agent:__init__:32 - Agente Programador prog1 inicializado con habilidades: ['python', 'web', 'database']
2025-02-02 02:03:52.595 | INFO     | agents.coordinator_agent:register_programmer:133 - Programador registrado: prog1 con habilidades: ['python', 'web', 'database']
2025-02-02 02:03:52.595 | INFO     | __main__:register_programmer:38 - Programador prog1 registrado con habilidades: ['python', 'web', 'database']
2025-02-02 02:03:52.595 | INFO     | agents.programmer_agent:__init__:32 - Agente Programador prog2 inicializado con habilidades: ['python', 'ai', 'testing']
2025-02-02 02:03:52.596 | INFO     | agents.coordinator_agent:register_programmer:133 - Programador registrado: prog2 con habilidades: ['python', 'ai', 'testing']
2025-02-02 02:03:52.596 | INFO     | __main__:register_programmer:38 - Programador prog2 registrado con habilidades: ['python', 'ai', 'testing']
2025-02-02 02:03:52.596 | INFO     | agents.programmer_agent:__init__:32 - Agente Programador prog3 inicializado con habilidades: ['javascript', 'frontend', 'ui']
2025-02-02 02:03:52.596 | INFO     | agents.coordinator_agent:register_programmer:133 - Programador registrado: prog3 con habilidades: ['javascript', 'frontend', 'ui']
2025-02-02 02:03:52.596 | INFO     | __main__:register_programmer:38 - Programador prog3 registrado con habilidades: ['javascript', 'frontend', 'ui']
