2025-02-02 03:57:49.590 | INFO     | agents.qa_agent:__init__:39 - Agente QA inicializado
2025-02-02 03:58:06.468 | INFO     | agents.qa_agent:__init__:39 - Agente QA inicializado
2025-02-02 03:58:06.531 | INFO     | agents.coordinator_agent:register_programmer:51 - Programador prog1 registrado con habilidades: ['python', 'web', 'database', 'sql', 'fastapi', 'jwt', 'websockets']
2025-02-02 03:58:06.531 | INFO     | __main__:register_programmer:73 - Programador prog1 registrado con habilidades: ['python', 'web', 'database', 'sql', 'fastapi', 'jwt', 'websockets']
2025-02-02 03:58:06.531 | INFO     | agents.coordinator_agent:register_programmer:51 - Programador prog2 registrado con habilidades: ['python', 'ai', 'testing', 'pruebas unitarias']
2025-02-02 03:58:06.532 | INFO     | __main__:register_programmer:73 - Programador prog2 registrado con habilidades: ['python', 'ai', 'testing', 'pruebas unitarias']
2025-02-02 03:58:06.532 | INFO     | agents.coordinator_agent:register_programmer:51 - Programador prog3 registrado con habilidades: ['javascript', 'frontend', 'ui', 'react', 'html', 'css', 'jwt']
2025-02-02 03:58:06.532 | INFO     | __main__:register_programmer:73 - Programador prog3 registrado con habilidades: ['javascript', 'frontend', 'ui', 'react', 'html', 'css', 'jwt']
2025-02-02 03:58:06.532 | INFO     | __main__:__init__:63 - Sistema Multi-Agentes inicializado
2025-02-02 03:58:06.532 | INFO     | __main__:process_project:85 - Iniciando analisis del proyecto
2025-02-02 03:59:18.485 | ERROR    | __main__:process_project:127 - Error al procesar proyecto: 'CoordinatorAgent' object has no attribute 'execute_tasks'
2025-02-02 03:59:50.452 | INFO     | agents.qa_agent:__init__:39 - Agente QA inicializado
2025-02-02 03:59:50.517 | INFO     | agents.coordinator_agent:register_programmer:51 - Programador prog1 registrado con habilidades: ['python', 'web', 'database', 'sql', 'fastapi', 'jwt', 'websockets']
2025-02-02 03:59:50.517 | INFO     | __main__:register_programmer:73 - Programador prog1 registrado con habilidades: ['python', 'web', 'database', 'sql', 'fastapi', 'jwt', 'websockets']
2025-02-02 03:59:50.517 | INFO     | agents.coordinator_agent:register_programmer:51 - Programador prog2 registrado con habilidades: ['python', 'ai', 'testing', 'pruebas unitarias']
2025-02-02 03:59:50.517 | INFO     | __main__:register_programmer:73 - Programador prog2 registrado con habilidades: ['python', 'ai', 'testing', 'pruebas unitarias']
2025-02-02 03:59:50.517 | INFO     | agents.coordinator_agent:register_programmer:51 - Programador prog3 registrado con habilidades: ['javascript', 'frontend', 'ui', 'react', 'html', 'css', 'jwt']
2025-02-02 03:59:50.518 | INFO     | __main__:register_programmer:73 - Programador prog3 registrado con habilidades: ['javascript', 'frontend', 'ui', 'react', 'html', 'css', 'jwt']
2025-02-02 03:59:50.518 | INFO     | __main__:__init__:63 - Sistema Multi-Agentes inicializado
2025-02-02 03:59:50.518 | INFO     | __main__:process_project:85 - Iniciando analisis del proyecto
2025-02-02 04:00:40.457 | ERROR    | __main__:process_project:127 - Error al procesar proyecto: 'NoneType' object is not subscriptable
2025-02-02 04:01:01.699 | INFO     | agents.qa_agent:__init__:39 - Agente QA inicializado
2025-02-02 04:01:01.766 | INFO     | agents.coordinator_agent:register_programmer:51 - Programador prog1 registrado con habilidades: ['python', 'web', 'database', 'sql', 'fastapi', 'jwt', 'websockets']
2025-02-02 04:01:01.767 | INFO     | __main__:register_programmer:73 - Programador prog1 registrado con habilidades: ['python', 'web', 'database', 'sql', 'fastapi', 'jwt', 'websockets']
2025-02-02 04:01:01.767 | INFO     | agents.coordinator_agent:register_programmer:51 - Programador prog2 registrado con habilidades: ['python', 'ai', 'testing', 'pruebas unitarias']
2025-02-02 04:01:01.767 | INFO     | __main__:register_programmer:73 - Programador prog2 registrado con habilidades: ['python', 'ai', 'testing', 'pruebas unitarias']
2025-02-02 04:01:01.767 | INFO     | agents.coordinator_agent:register_programmer:51 - Programador prog3 registrado con habilidades: ['javascript', 'frontend', 'ui', 'react', 'html', 'css', 'jwt']
2025-02-02 04:01:01.768 | INFO     | __main__:register_programmer:73 - Programador prog3 registrado con habilidades: ['javascript', 'frontend', 'ui', 'react', 'html', 'css', 'jwt']
2025-02-02 04:01:01.768 | INFO     | __main__:__init__:63 - Sistema Multi-Agentes inicializado
2025-02-02 04:01:01.768 | INFO     | __main__:process_project:85 - Iniciando analisis del proyecto
2025-02-02 04:02:03.421 | ERROR    | __main__:process_project:127 - Error al procesar proyecto: Error al analizar proyecto con DeepSeek: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-583ae***********************3ecf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-02-02 18:54:10.421 | INFO     | agents.coordinator_agent:__init__:25 - Agente Coordinador inicializado
2025-02-02 18:54:10.529 | INFO     | agents.qa_agent:__init__:39 - Agente QA inicializado
2025-02-02 18:54:10.806 | INFO     | agents.coordinator_agent:register_programmer:52 - Programador prog1 registrado con habilidades: ['python', 'web', 'database', 'sql', 'fastapi', 'jwt', 'websockets']
2025-02-02 18:54:10.807 | INFO     | __main__:register_programmer:80 - Programador prog1 registrado con habilidades: ['python', 'web', 'database', 'sql', 'fastapi', 'jwt', 'websockets']
2025-02-02 18:54:10.807 | INFO     | agents.coordinator_agent:register_programmer:52 - Programador prog2 registrado con habilidades: ['python', 'ai', 'testing', 'pruebas unitarias']
2025-02-02 18:54:10.807 | INFO     | __main__:register_programmer:80 - Programador prog2 registrado con habilidades: ['python', 'ai', 'testing', 'pruebas unitarias']
2025-02-02 18:54:10.808 | INFO     | agents.coordinator_agent:register_programmer:52 - Programador prog3 registrado con habilidades: ['javascript', 'frontend', 'ui', 'react', 'html', 'css', 'jwt']
