2025-02-02 03:22:58.557 | INFO     | agents.coordinator_agent:__init__:40 - Agente Coordinador inicializado
2025-02-02 03:22:58.559 | INFO     | agents.qa_agent:__init__:39 - Agente QA inicializado
2025-02-02 03:22:58.559 | INFO     | agents.programmer_agent:__init__:34 - Agente Programador prog1 inicializado con habilidades: ['python', 'web', 'database', 'sql', 'fastapi', 'jwt', 'websockets']
2025-02-02 03:22:58.560 | INFO     | agents.programmer_agent:__init__:34 - Agente Programador prog2 inicializado con habilidades: ['python', 'ai', 'testing', 'pruebas unitarias']
2025-02-02 03:22:58.560 | INFO     | agents.programmer_agent:__init__:34 - Agente Programador prog3 inicializado con habilidades: ['javascript', 'frontend', 'ui', 'react', 'html', 'css', 'jwt']
2025-02-02 03:23:14.751 | INFO     | agents.coordinator_agent:__init__:40 - Agente Coordinador inicializado
2025-02-02 03:23:14.752 | INFO     | agents.qa_agent:__init__:39 - Agente QA inicializado
2025-02-02 03:23:14.752 | INFO     | agents.programmer_agent:__init__:34 - Agente Programador prog1 inicializado con habilidades: ['python', 'web', 'database', 'sql', 'fastapi', 'jwt', 'websockets']
2025-02-02 03:23:14.753 | INFO     | agents.programmer_agent:__init__:34 - Agente Programador prog2 inicializado con habilidades: ['python', 'ai', 'testing', 'pruebas unitarias']
2025-02-02 03:23:14.753 | INFO     | agents.programmer_agent:__init__:34 - Agente Programador prog3 inicializado con habilidades: ['javascript', 'frontend', 'ui', 'react', 'html', 'css', 'jwt']
2025-02-02 03:23:14.753 | INFO     | agents.coordinator_agent:register_programmer:184 - Programador prog1 registrado con habilidades: ['python', 'web', 'database', 'sql', 'fastapi', 'jwt', 'websockets']
2025-02-02 03:23:14.753 | INFO     | __main__:register_programmer:72 - Programador prog1 registrado con habilidades: ['python', 'web', 'database', 'sql', 'fastapi', 'jwt', 'websockets']
2025-02-02 03:23:14.753 | INFO     | agents.coordinator_agent:register_programmer:184 - Programador prog2 registrado con habilidades: ['python', 'ai', 'testing', 'pruebas unitarias']
2025-02-02 03:23:14.753 | INFO     | __main__:register_programmer:72 - Programador prog2 registrado con habilidades: ['python', 'ai', 'testing', 'pruebas unitarias']
2025-02-02 03:23:14.753 | INFO     | agents.coordinator_agent:register_programmer:184 - Programador prog3 registrado con habilidades: ['javascript', 'frontend', 'ui', 'react', 'html', 'css', 'jwt']
2025-02-02 03:23:14.754 | INFO     | __main__:register_programmer:72 - Programador prog3 registrado con habilidades: ['javascript', 'frontend', 'ui', 'react', 'html', 'css', 'jwt']
2025-02-02 03:23:14.754 | INFO     | __main__:__init__:62 - Sistema Multi-Agentes inicializado
2025-02-02 03:23:14.754 | INFO     | __main__:process_project:85 - Iniciando analisis del proyecto
2025-02-02 03:23:14.754 | INFO     | __main__:process_project:98 - Análisis del proyecto recibido: {'descripcion_general': 'Desarrollo de una aplicación web para la gestión de tareas con un frontend en React, un backend en FastAPI y una base de datos PostgreSQL. La aplicación incluye autenticación de usuarios, operaciones CRUD para tareas, notificaciones en tiempo real y funcionalidades de búsqueda y filtrado.', 'tareas': [{'id': 1, 'descripcion': 'Diseñar la estructura de la base de datos PostgreSQL', 'habilidades_requeridas': ['sql', 'diseño de bases de datos'], 'dependencias': [], 'estimacion_horas': 8}, {'id': 2, 'descripcion': 'Implementar la API REST con FastAPI', 'habilidades_requeridas': ['python', 'fastapi'], 'dependencias': [1], 'estimacion_horas': 16}, {'id': 3, 'descripcion': 'Configurar la autenticación con JWT en el backend', 'habilidades_requeridas': ['python', 'fastapi', 'jwt'], 'dependencias': [2], 'estimacion_horas': 8}, {'id': 4, 'descripcion': 'Desarrollar la interfaz de usuario en React', 'habilidades_requeridas': ['react', 'html', 'css'], 'dependencias': [], 'estimacion_horas': 24}, {'id': 5, 'descripcion': 'Implementar la autenticación de usuarios en el frontend', 'habilidades_requeridas': ['react', 'jwt'], 'dependencias': [3, 4], 'estimacion_horas': 12}, {'id': 6, 'descripcion': 'Desarrollar el panel de control para gestionar tareas', 'habilidades_requeridas': ['react', 'css'], 'dependencias': [4], 'estimacion_horas': 20}, {'id': 7, 'descripcion': 'Implementar operaciones CRUD para tareas en el backend', 'habilidades_requeridas': ['python', 'fastapi'], 'dependencias': [2], 'estimacion_horas': 16}, {'id': 8, 'descripcion': 'Integrar notificaciones en tiempo real', 'habilidades_requeridas': ['websockets', 'react', 'fastapi'], 'dependencias': [2, 4], 'estimacion_horas': 12}, {'id': 9, 'descripcion': 'Implementar filtros y búsqueda de tareas', 'habilidades_requeridas': ['react', 'fastapi'], 'dependencias': [6, 7], 'estimacion_horas': 12}, {'id': 10, 'descripcion': 'Escribir pruebas unitarias para el backend', 'habilidades_requeridas': ['python', 'pruebas unitarias'], 'dependencias': [2, 7], 'estimacion_horas': 8}, {'id': 11, 'descripcion': 'Escribir pruebas unitarias para el frontend', 'habilidades_requeridas': ['react', 'pruebas unitarias'], 'dependencias': [4, 6], 'estimacion_horas': 8}, {'id': 12, 'descripcion': 'Documentar el código y el proyecto', 'habilidades_requeridas': ['documentación técnica'], 'dependencias': [2, 4, 7, 10, 11], 'estimacion_horas': 8}], 'riesgos_potenciales': ['Retrasos en la integración entre frontend y backend debido a diferencias en la implementación de la autenticación.', 'Problemas de rendimiento con las notificaciones en tiempo real si no se optimiza el uso de WebSockets.', 'Dificultades en la sincronización de datos entre el frontend y el backend, especialmente en operaciones CRUD.', 'Riesgo de seguridad si no se implementan correctamente las validaciones de datos y la autenticación JWT.', 'Posibles retrasos en la entrega si las pruebas unitarias no se completan a tiempo o se encuentran errores críticos.']}
2025-02-02 03:23:14.754 | INFO     | __main__:process_project:101 - Asignando tareas a programadores
2025-02-02 03:23:14.754 | INFO     | agents.coordinator_agent:assign_task:290 - Tarea 4 asignada a programador prog3
2025-02-02 03:23:14.755 | INFO     | __main__:process_project:105 - Ejecutando tareas asignadas
2025-02-02 03:23:14.755 | ERROR    | __main__:process_project:117 - Error al procesar proyecto: 'CoordinatorAgent' object has no attribute 'current_project'
2025-02-02 03:23:58.663 | INFO     | agents.coordinator_agent:__init__:50 - Agente Coordinador inicializado
2025-02-02 03:23:58.664 | INFO     | agents.qa_agent:__init__:39 - Agente QA inicializado
2025-02-02 03:23:58.664 | INFO     | agents.programmer_agent:__init__:34 - Agente Programador prog1 inicializado con habilidades: ['python', 'web', 'database', 'sql', 'fastapi', 'jwt', 'websockets']
2025-02-02 03:23:58.664 | INFO     | agents.programmer_agent:__init__:34 - Agente Programador prog2 inicializado con habilidades: ['python', 'ai', 'testing', 'pruebas unitarias']
2025-02-02 03:23:58.664 | INFO     | agents.programmer_agent:__init__:34 - Agente Programador prog3 inicializado con habilidades: ['javascript', 'frontend', 'ui', 'react', 'html', 'css', 'jwt']
2025-02-02 03:23:58.664 | INFO     | agents.coordinator_agent:register_programmer:139 - Programador prog1 registrado con habilidades: ['python', 'web', 'database', 'sql', 'fastapi', 'jwt', 'websockets']
2025-02-02 03:23:58.665 | INFO     | __main__:register_programmer:72 - Programador prog1 registrado con habilidades: ['python', 'web', 'database', 'sql', 'fastapi', 'jwt', 'websockets']
2025-02-02 03:23:58.665 | INFO     | agents.coordinator_agent:register_programmer:139 - Programador prog2 registrado con habilidades: ['python', 'ai', 'testing', 'pruebas unitarias']
2025-02-02 03:23:58.665 | INFO     | __main__:register_programmer:72 - Programador prog2 registrado con habilidades: ['python', 'ai', 'testing', 'pruebas unitarias']
